locus	product	gene 	main role	subrole	regulation	developmental phenotype	core sporulation gene	reference
MXAN3466	"aspartate kinase, monofunctional class"		Amino acid biosynthesis	Aspartate family	not reg			
MXAN4877	aspartate kinase		Amino acid biosynthesis	Aspartate family	not reg			
MXAN5054	diaminopimelate epimerase	dapF	Amino acid biosynthesis	Aspartate family	not reg			
MXAN5927	dihydrodipicolinate reductase	dapB	Amino acid biosynthesis	Aspartate family	not reg			
MXAN5928	dihydrodipicolinate synthase	dapA	Amino acid biosynthesis	Aspartate family	not reg			
MXAN5929	diaminopimelate decarboxylase	lysA	Amino acid biosynthesis	Aspartate family	not reg			
MXAN6777	dipeptidase		Amino acid biosynthesis	Aspartate family	not reg			
MXAN6779	"2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase"		Amino acid biosynthesis	Aspartate family	not reg			
MXAN2035	Cys/Met metabolism PLP-dependent enzyme		Amino acid biosynthesis	Aspartate family	NR			
MXAN2278	aspartate kinase/homoserine dehydrogenase		Amino acid biosynthesis	Aspartate family	NR			
MXAN5902	putative homoserine-O-acetyltransferase		Amino acid biosynthesis	Aspartate family	up2			
MXAN1012	acetylornithine deacetylase	argE	Amino acid biosynthesis	Glutamate family	not reg			
MXAN1357	glutamate 5-kinase	proB	Amino acid biosynthesis	Glutamate family	not reg			
MXAN3014	acetylornithine transaminase	argD	Amino acid biosynthesis	Glutamate family	not reg			
MXAN3918	"glutamate synthase, small subunit"		Amino acid biosynthesis	Glutamate family	not reg			
MXAN5104	N-acetylornithine carbamoyltransferase	argF	Amino acid biosynthesis	Glutamate family	not reg			
MXAN5105	acetylglutamate kinase	argB	Amino acid biosynthesis	Glutamate family	not reg			
MXAN5107	argininosuccinate lyase	argH	Amino acid biosynthesis	Glutamate family	not reg			
MXAN5108	argininosuccinate synthase	argG	Amino acid biosynthesis	Glutamate family	not reg			
MXAN5110	N-acetyl-gamma-glutamyl-phosphate reductase	argC	Amino acid biosynthesis	Glutamate family	not reg			
MXAN3917	"glutamate synthase, large subunit"		Amino acid biosynthesis	Glutamate family	NR			
MXAN0912	glutamate--ammonia ligase	glnA	Amino acid biosynthesis	Glutamate family	up2			
MXAN4038	histidinol-phosphate aminotransferase	hisC	Amino acid biosynthesis	Histidine family	not reg			
MXAN4222	phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP diphosphatase	hisIE	Amino acid biosynthesis	Histidine family	not reg			
MXAN4227	"imidazole glycerol phosphate synthase, glutamine amidotransferase subunit"	hisH	Amino acid biosynthesis	Histidine family	not reg			
MXAN4223	putative histidinol-phosphate phosphatase		Amino acid biosynthesis	Histidine family	up2			
MXAN4224	"imidazoleglycerol phosphate synthase, cyclase subunit"	hisF	Amino acid biosynthesis	Histidine family	up2			
MXAN4225	imidazoleglycerol-phosphate dehydratase	hisB	Amino acid biosynthesis	Histidine family	up2			
MXAN4226	putative phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase		Amino acid biosynthesis	Histidine family	up2			
MXAN4228	histidinol-phosphate aminotransferase	hisC	Amino acid biosynthesis	Histidine family	up2			
MXAN4229	histidinol dehydrogenase	hisD	Amino acid biosynthesis	Histidine family	up2			
MXAN4230	ATP phosphoribosyltransferase	hisG	Amino acid biosynthesis	Histidine family	up2			
MXAN1282	"putative 3-isopropylmalate dehydratase, large subunit"		Amino acid biosynthesis	Pyruvate family	down			
MXAN1283	putative 3-isopropylmalate dehydrogenase		Amino acid biosynthesis	Pyruvate family	not reg			
MXAN1089	ACT domain protein/phosphoserine phosphatase SerB	serB	Amino acid biosynthesis	Serine family	down			
MXAN1571	cysteine synthase A	cysK	Amino acid biosynthesis	Serine family	not reg			
MXAN1572	putative serine O-acetyltransferase		Amino acid biosynthesis	Serine family	not reg			
MXAN2041	putative cystathionine beta-synthase		Amino acid biosynthesis	Serine family	not reg			
MXAN4171	cysteine synthase A		Amino acid biosynthesis	Serine family	not reg			
MXAN4948	phosphoserine aminotransferase	serC	Amino acid biosynthesis	Serine family	not reg			
MXAN6356	D-3-phosphoglycerate dehydrogenase	serA	Amino acid biosynthesis	Serine family	not reg			
MXAN0992	putative cysteine synthase		Amino acid biosynthesis	Serine family	NR			
MXAN0318	putative adenosylmethionine-8-amino-7-oxononanoate aminotransferase		"Biosynthesis of cofactors, prosthetic groups, and carriers"	Biotin	not reg			
MXAN0841	putative 8-amino-7-oxononanoate synthase		"Biosynthesis of cofactors, prosthetic groups, and carriers"	Biotin	not reg			
MXAN1257	biotin synthase	bioB	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Biotin	not reg			
MXAN1258	8-amino-7-oxononanoate synthase	bioF	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Biotin	not reg			
MXAN1259	dethiobiotin synthase	bioD	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Biotin	not reg			
MXAN1589	"putative para-aminobenzoate synthase, glutamine amidotransferase component"		"Biosynthesis of cofactors, prosthetic groups, and carriers"	Folic acid	not reg			
MXAN1590	"putative para-aminobenzoate synthase, component I"		"Biosynthesis of cofactors, prosthetic groups, and carriers"	Folic acid	not reg			
MXAN2226	methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase	folD	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Folic acid	not reg			
MXAN2705	tetrahydrofolylpolyglutamate synthase/dihydrofolate synthase	folC	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Folic acid	not reg			
MXAN2955	GTP cyclohydrolase I		"Biosynthesis of cofactors, prosthetic groups, and carriers"	Folic acid	not reg			
MXAN3032	methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase	folD	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Folic acid	not reg			
MXAN5925	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase	folK	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Folic acid	not reg			
MXAN5943	dihydrofolate reductase	folA	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Folic acid	not reg			
MXAN6878	putative dihydroneopterin aldolase		"Biosynthesis of cofactors, prosthetic groups, and carriers"	Folic acid	not reg			
MXAN4112	FolB domain protein		"Biosynthesis of cofactors, prosthetic groups, and carriers"	Folic acid	NR			
MXAN4353	dihydropteroate synthase	folP	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Folic acid	NR			
MXAN1383	gamma-glutamyltransferase	ggt	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Glutathione and analogs	NI			
MXAN0017	glutathione synthase	gshB	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Glutathione and analogs	not reg			
MXAN5806	putative glutamate-cysteine ligase		"Biosynthesis of cofactors, prosthetic groups, and carriers"	Glutathione and analogs	not reg			
MXAN1276	"glutamate-cysteine ligase, family 2"		"Biosynthesis of cofactors, prosthetic groups, and carriers"	Glutathione and analogs	up2			
MXAN5532	coproporphyrinogen III oxidase	hemN	"Biosynthesis of cofactors, prosthetic groups, and carriers"	"Heme, porphyrin, and cobalamin"	down			
MXAN0395	"glutamate-1-semialdehyde-2,1-aminomutase"	hemL	"Biosynthesis of cofactors, prosthetic groups, and carriers"	"Heme, porphyrin, and cobalamin"	not reg			
MXAN1143	putative oxygen-independent coproporphyrinogen III oxidase		"Biosynthesis of cofactors, prosthetic groups, and carriers"	"Heme, porphyrin, and cobalamin"	not reg			
MXAN1293	protoporphyrinogen oxidase	hemG	"Biosynthesis of cofactors, prosthetic groups, and carriers"	"Heme, porphyrin, and cobalamin"	not reg			
MXAN1537	ferrochelatase	hemH	"Biosynthesis of cofactors, prosthetic groups, and carriers"	"Heme, porphyrin, and cobalamin"	not reg			
MXAN2338	uroporphyrin-III C-methyltransferase	cobA	"Biosynthesis of cofactors, prosthetic groups, and carriers"	"Heme, porphyrin, and cobalamin"	not reg			
MXAN2572	alpha-ribazole-5'-phosphate phosphatase	cobC	"Biosynthesis of cofactors, prosthetic groups, and carriers"	"Heme, porphyrin, and cobalamin"	not reg			
MXAN2655	glutamyl-tRNA reductase	hemA	"Biosynthesis of cofactors, prosthetic groups, and carriers"	"Heme, porphyrin, and cobalamin"	not reg			
MXAN2656	porphobilinogen deaminase	hemC	"Biosynthesis of cofactors, prosthetic groups, and carriers"	"Heme, porphyrin, and cobalamin"	not reg			
MXAN2657	uroporphyrinogen-III synthase	hemD	"Biosynthesis of cofactors, prosthetic groups, and carriers"	"Heme, porphyrin, and cobalamin"	not reg			
MXAN4100	delta-aminolevulinic acid dehydratase	hemB	"Biosynthesis of cofactors, prosthetic groups, and carriers"	"Heme, porphyrin, and cobalamin"	not reg			
MXAN5318	protoheme IX farnesyltransferase		"Biosynthesis of cofactors, prosthetic groups, and carriers"	"Heme, porphyrin, and cobalamin"	not reg			
MXAN5373	uroporphyrinogen decarboxylase	hemE	"Biosynthesis of cofactors, prosthetic groups, and carriers"	"Heme, porphyrin, and cobalamin"	not reg			
MXAN5941	putative ATP:cob(I)alamin adenosyltransferase		"Biosynthesis of cofactors, prosthetic groups, and carriers"	"Heme, porphyrin, and cobalamin"	not reg			
MXAN6762	coproporphyrinogen III oxidase	hemF	"Biosynthesis of cofactors, prosthetic groups, and carriers"	"Heme, porphyrin, and cobalamin"	not reg			
MXAN2339	siroheme synthase N-terminal domain protein		"Biosynthesis of cofactors, prosthetic groups, and carriers"	"Heme, porphyrin, and cobalamin"	up2			
MXAN4218	lipoyl synthase	lipA	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Lipoate	not reg			
MXAN3154	naphthoate synthase	menB	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Menaquinone and ubiquinone	down			
MXAN3525	ubiquinone/menaquinone biosynthesis methyltransferase	ubiE	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Menaquinone and ubiquinone	not reg			
MXAN3527	isochorismate synthase		"Biosynthesis of cofactors, prosthetic groups, and carriers"	Menaquinone and ubiquinone	not reg			
MXAN3528	"2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylic acid synthase/2-oxoglutarate decarboxylase"	menD	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Menaquinone and ubiquinone	not reg			
MXAN3531	putative O-succinylbenzoic acid synthase		"Biosynthesis of cofactors, prosthetic groups, and carriers"	Menaquinone and ubiquinone	not reg			
MXAN3532	O-succinylbenzoate-CoA ligase	menE	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Menaquinone and ubiquinone	NR			
MXAN3530	"1,4-dihydroxy-2-naphthoate octaprenyltransferase"	menA	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Menaquinone and ubiquinone	up2			
MXAN1956	molybdenum cofactor biosynthesis protein C	moaC	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Molybdopterin	not reg			
MXAN2564	"molybdopterin converting factor, subunits 1/2"	moaDE	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Molybdopterin	not reg			
MXAN2759	molybdenum cofactor biosynthesis protein B	moaB	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Molybdopterin	not reg			
MXAN4212	molybdopterin biosynthesis MoeA protein	moeA	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Molybdopterin	not reg			
MXAN4233	molybdenum cofactor biosynthesis protein MoaA	moaA	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Molybdopterin	not reg			
MXAN7413	molybdopterin biosynthesis MoeA protein	moeA	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Molybdopterin	not reg			
MXAN7412	molybdopterin-guanine dinucleotide biosynthesis protein A	mobA	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Molybdopterin	NR			
MXAN7517	phytoene dehydrogenase	carC	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Other	NI			
MXAN0894	putative farnesyltranstransferase		"Biosynthesis of cofactors, prosthetic groups, and carriers"	Other	not reg			
MXAN0895	phytoene desaturase	crtI	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Other	not reg			
MXAN0896	phytoene synthetase	crtB	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Other	not reg			
MXAN0897	hydroxyneurosporene dehydrogenase		"Biosynthesis of cofactors, prosthetic groups, and carriers"	Other	not reg			
MXAN0898	neurosporene hydroxylase		"Biosynthesis of cofactors, prosthetic groups, and carriers"	Other	not reg			
MXAN0899	putative carotenoid biosynthesis protein		"Biosynthesis of cofactors, prosthetic groups, and carriers"	Other	not reg			
MXAN1153	cysteine desulfurase activator complex subunit SufB	sufB	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Other	not reg			
MXAN1154	FeS assembly ATPase SufC	sufC	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Other	not reg			
MXAN1155	FeS assembly protein SufD	sufD	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Other	not reg			
MXAN1156	cysteine desulfurase SufS	sufS	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Other	not reg			
MXAN1157	"SUF system FeS assembly protein, NifU family"		"Biosynthesis of cofactors, prosthetic groups, and carriers"	Other	not reg			
MXAN2588	molybdopterin biosynthesis protein MoeB		"Biosynthesis of cofactors, prosthetic groups, and carriers"	Other	not reg			
MXAN3678	polyprenyl synthase family protein		"Biosynthesis of cofactors, prosthetic groups, and carriers"	Other	not reg			
MXAN4052	putative phytoene dehydrogenase		"Biosynthesis of cofactors, prosthetic groups, and carriers"	Other	not reg			
MXAN4090	carotenogenesis protein carS	carS	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Other	not reg			
MXAN4644	geranylgeranyl diphosphate synthase	crtE	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Other	not reg			
MXAN5002	scaffold protein	iscU	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Other	not reg			
MXAN5003	iron-sulfur cluster assembly accessory protein		"Biosynthesis of cofactors, prosthetic groups, and carriers"	Other	not reg			
MXAN5006	putative 2Fe-2S cluster assembly ferredoxin		"Biosynthesis of cofactors, prosthetic groups, and carriers"	Other	not reg			
MXAN5021	"isopentenyl-diphosphate delta-isomerase, type 2"	fni	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Other	not reg			
MXAN6773	putative pterin-4-alpha-carbinolamine dehydratase		"Biosynthesis of cofactors, prosthetic groups, and carriers"	Other	not reg			
MXAN6868	putative 6-pyruvoyl tetrahydrobiopterin synthase		"Biosynthesis of cofactors, prosthetic groups, and carriers"	Other	not reg			
MXAN2055	3-methyl-2-oxobutanoate hydroxymethyltransferase	panB	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Pantothenate and coenzyme A	not reg			
MXAN2056	pantoate--beta-alanine ligase	panC	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Pantothenate and coenzyme A	not reg			
MXAN2325	pantothenate kinase	coaA	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Pantothenate and coenzyme A	not reg			
MXAN3021	dephospho-CoA kinase	coaE	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Pantothenate and coenzyme A	not reg			
MXAN3121	2-dehydropantoate 2-reductase	panE	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Pantothenate and coenzyme A	not reg			
MXAN3385	pantetheine-phosphate adenylyltransferase	coaD	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Pantothenate and coenzyme A	not reg			
MXAN4395	phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase	coaBC	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Pantothenate and coenzyme A	not reg			
MXAN5358	pantetheine-phosphate adenylyltransferase	coaD	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Pantothenate and coenzyme A	not reg			
MXAN6830	aspartate 1-decarboxylase	panD	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Pantothenate and coenzyme A	not reg			
MXAN2603	quinolinate synthetase	nadA	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Pyridine nucleotides	not reg			
MXAN4185	nicotinate (nicotinamide) nucleotide adenylyltransferase	nadD	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Pyridine nucleotides	not reg			
MXAN4459	nicotinate-nucleotide pyrophosphorylase	nadC	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Pyridine nucleotides	not reg			
MXAN4629	L-aspartate oxidase	nadB	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Pyridine nucleotides	not reg			
MXAN5363	putative inorganic polyphosphate/ATP-NAD kinase		"Biosynthesis of cofactors, prosthetic groups, and carriers"	Pyridine nucleotides	not reg			
MXAN6851	putative glutamine-dependent NAD+ synthetase		"Biosynthesis of cofactors, prosthetic groups, and carriers"	Pyridine nucleotides	not reg			
MXAN7166	nicotinate phosphoribosyltransferase		"Biosynthesis of cofactors, prosthetic groups, and carriers"	Pyridine nucleotides	up2			
MXAN0467	4-hydroxythreonine-4-phosphate dehydrogenase	pdxA	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Pyridoxine	not reg			
MXAN1295	pyridoxamine 5'-phosphate oxidase	pdxH	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Pyridoxine	not reg			
MXAN4351	pyridoxal phosphate biosynthetic protein PdxJ	pdxJ	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Pyridoxine	up1			
MXAN0122	hypothetical protein		"Biosynthesis of cofactors, prosthetic groups, and carriers"	"Riboflavin, FMN, and FAD"	not reg			
MXAN3410	"3,4-dihydroxy-2-butanone 4-phosphate synthase/GTP cyclohydrolase II"	ribBA	"Biosynthesis of cofactors, prosthetic groups, and carriers"	"Riboflavin, FMN, and FAD"	not reg			
MXAN4213	GTP cyclohydrolase II	ribA	"Biosynthesis of cofactors, prosthetic groups, and carriers"	"Riboflavin, FMN, and FAD"	not reg			
MXAN4762	"6,7-dimethyl-8-ribityllumazine synthase"	ribE	"Biosynthesis of cofactors, prosthetic groups, and carriers"	"Riboflavin, FMN, and FAD"	not reg			
MXAN4763	riboflavin synthase subunit alpha	ribE	"Biosynthesis of cofactors, prosthetic groups, and carriers"	"Riboflavin, FMN, and FAD"	not reg			
MXAN4764	riboflavin biosynthesis protein RibD	ribD	"Biosynthesis of cofactors, prosthetic groups, and carriers"	"Riboflavin, FMN, and FAD"	not reg			
MXAN5789	riboflavin biosynthesis protein RibF	ribF	"Biosynthesis of cofactors, prosthetic groups, and carriers"	"Riboflavin, FMN, and FAD"	not reg			
MXAN3640	siderophore biosynthesis aminotransferase		"Biosynthesis of cofactors, prosthetic groups, and carriers"	Siderophores	down			
MXAN3644	isochorismatase		"Biosynthesis of cofactors, prosthetic groups, and carriers"	Siderophores	down			
MXAN3645	"2,3-dihydroxybenzoate-AMP ligase"		"Biosynthesis of cofactors, prosthetic groups, and carriers"	Siderophores	down			
MXAN3646	isochorismate synthase DhbC		"Biosynthesis of cofactors, prosthetic groups, and carriers"	Siderophores	down			
MXAN3647	"2,3-dihydroxybenzoate-2,3-dehydrogenase"		"Biosynthesis of cofactors, prosthetic groups, and carriers"	Siderophores	down			
MXAN2287	phosphomethylpyrimidine kinase	thiD	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Thiamine	not reg			
MXAN3267	putative thiamine-phosphate pyrophosphorylase		"Biosynthesis of cofactors, prosthetic groups, and carriers"	Thiamine	not reg			
MXAN3268	thiazole synthase	thiG	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Thiamine	not reg			
MXAN3269	thiamine biosynthesis protein ThiS	thiS	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Thiamine	not reg			
MXAN4231	glycine oxidase ThiO	thiO	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Thiamine	not reg			
MXAN4235	thiamine biosynthesis protein ThiC	thiC	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Thiamine	not reg			
MXAN4643	1-deoxy-D-xylulose-5-phosphate synthase	dxs	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Thiamine	not reg			
MXAN5085	putative phosphomethylpyrimidine kinase		"Biosynthesis of cofactors, prosthetic groups, and carriers"	Thiamine	not reg			
MXAN5087	thiamine-phosphate pyrophosphorylase	thiE	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Thiamine	not reg			
MXAN6697	thiamine-monophosphate kinase	thiL	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Thiamine	not reg			
MXAN3227	chain length determinant family protein	exo	Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	NR	dev	spo	"(Licking, Gorski et al. 2000)"
MXAN3225	polysaccharide biosynthesis/export protein	fdgA	Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	up1	dev	spo	(Ueki and Inouye 2005)
MXAN0560	penicillin-resistant DD-carboxypeptidase	pdcA	Cell envelope	biosynth and deg of murein sacculus and peptidoglycan	not reg			
MXAN1910	LD-carboxypeptidase family protein		Cell envelope	biosynth and deg of murein sacculus and peptidoglycan	not reg			
MXAN2645	rod shape-determining protein MreC	mreC	Cell envelope	biosynth and deg of murein sacculus and peptidoglycan	not reg			
MXAN2647	putative penicillin-binding protein 2	rodA	Cell envelope	biosynth and deg of murein sacculus and peptidoglycan	not reg			
MXAN2648	rod shape-determining protein RodA	mreB	Cell envelope	biosynth and deg of murein sacculus and peptidoglycan	not reg			
MXAN3130	putative D-alanyl-D-alanine carboxypeptidase/D-alanyl-D-alanine-endopeptidase		Cell envelope	biosynth and deg of murein sacculus and peptidoglycan	not reg			
MXAN4097	D-alanine-D-alanine ligase family protein		Cell envelope	biosynth and deg of murein sacculus and peptidoglycan	not reg			
MXAN4352	phosphoglucosamine mutase	glmM	Cell envelope	biosynth and deg of murein sacculus and peptidoglycan	not reg			
MXAN4905	putative polyglutamate synthase CapA		Cell envelope	biosynth and deg of murein sacculus and peptidoglycan	not reg			
MXAN5291	monofunctional biosynthetic peptidoglycan transglycosylase	mtgA	Cell envelope	biosynth and deg of murein sacculus and peptidoglycan	not reg			
MXAN5601	D-alanine--D-alanine ligase		Cell envelope	biosynth and deg of murein sacculus and peptidoglycan	not reg			
MXAN5602	UDP-N-acetylenolpyruvoylglucosamine reductase	murB	Cell envelope	biosynth and deg of murein sacculus and peptidoglycan	not reg			
MXAN5603	UDP-N-acetylmuramate--alanine ligase	murC	Cell envelope	biosynth and deg of murein sacculus and peptidoglycan	not reg			
MXAN5604	undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase	murG	Cell envelope	biosynth and deg of murein sacculus and peptidoglycan	not reg			
MXAN5606	UDP-N-acetylmuramoylalanine--D-glutamate ligase	murD	Cell envelope	biosynth and deg of murein sacculus and peptidoglycan	not reg			
MXAN5607	phospho-N-acetylmuramoyl-pentapeptide-transferase	mraY	Cell envelope	biosynth and deg of murein sacculus and peptidoglycan	not reg			
MXAN5608	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase	murF	Cell envelope	biosynth and deg of murein sacculus and peptidoglycan	not reg			
MXAN5609	"UDP-N-acetylmuramoylalanyl-D-glutamyl-2, 6-diaminopimelate ligase"	murE	Cell envelope	biosynth and deg of murein sacculus and peptidoglycan	not reg			
MXAN5610	putative penicillin-binding protein		Cell envelope	biosynth and deg of murein sacculus and peptidoglycan	not reg			
MXAN5690	"transglycosylase, Slt family"		Cell envelope	biosynth and deg of murein sacculus and peptidoglycan	not reg			
MXAN5951	D-ala D-ala ligase domain protein		Cell envelope	biosynth and deg of murein sacculus and peptidoglycan	not reg			
MXAN6789	rod shape-determining protein MreB	mreB	Cell envelope	biosynth and deg of murein sacculus and peptidoglycan	not reg			
MXAN7139	putative penicillin-binding protein		Cell envelope	biosynth and deg of murein sacculus and peptidoglycan	not reg			
MXAN7308	putative transglycosylase		Cell envelope	biosynth and deg of murein sacculus and peptidoglycan	not reg			
MXAN7318	"transglycosylase, Slt family"		Cell envelope	biosynth and deg of murein sacculus and peptidoglycan	not reg			
MXAN0987	"N-acetylmuramoyl-L-alanine amidase, family 2"		Cell envelope	biosynth and deg of murein sacculus and peptidoglycan	NR			
MXAN1912	UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase	mpl	Cell envelope	biosynth and deg of murein sacculus and peptidoglycan	NR			
MXAN5741	D-alanine--D-alanine ligase		Cell envelope	biosynth and deg of murein sacculus and peptidoglycan	NR			
